"user_id","username","group_type","pre_node_count","post_node_count","node_growth","pre_edge_count","post_edge_count","edge_growth"
1,"20250507","A",,,,,,
2,"20230101","B",,,,,,
3,"1","A",2,,,1,,
4,"2","A",6,,,9,,
5,"3","B",2,5,3,1,5,4
6,"mock_user_001","A",2,5,3,1,3,2
7,"mock_user_002","B",5,13,8,4,17,13
8,"mock_user_003","A",2,5,3,1,5,4
9,"mock_user_004","B",2,9,7,1,5,4
10,"mock_user_005","A",3,6,3,1,6,5
11,"mock_user_006","B",3,8,5,1,6,5
12,"mock_user_007","A",4,6,2,2,5,3
13,"mock_user_008","B",3,7,4,1,8,7
14,"mock_user_009","A",3,4,1,1,4,3
15,"mock_user_010","B",4,11,7,1,7,6
16,"mock_user_011","A",2,6,4,1,2,1
17,"mock_user_012","B",3,8,5,1,9,8
18,"mock_user_013","A",3,5,2,2,4,2
19,"mock_user_014","B",5,10,5,4,8,4
20,"mock_user_015","A",4,6,2,1,6,5
21,"mock_user_016","B",2,9,7,1,6,5
22,"mock_user_017","A",4,8,4,1,5,4
23,"mock_user_018","B",5,12,7,3,12,9
24,"mock_user_019","A",3,4,1,2,4,2
25,"mock_user_020","B",5,11,6,2,11,9
26,"mock_user_021","A",5,9,4,4,12,8
27,"mock_user_022","B",2,8,6,1,9,8
28,"mock_user_023","A",5,9,4,4,8,4
29,"mock_user_024","B",3,10,7,1,9,8
30,"mock_user_025","A",5,9,4,3,4,1
31,"mock_user_026","B",4,10,6,2,11,9
32,"mock_user_027","A",5,6,1,3,7,4
33,"mock_user_028","B",5,12,7,3,13,10
34,"mock_user_029","A",2,3,1,1,2,1
35,"mock_user_030","B",3,9,6,2,11,9
36,"mock_user_031","A",3,6,3,2,7,5
37,"mock_user_032","B",5,10,5,1,5,4
38,"mock_user_033","A",2,6,4,1,5,4
39,"mock_user_034","B",2,8,6,1,5,4
40,"mock_user_035","A",2,6,4,1,2,1
41,"mock_user_036","B",2,9,7,1,7,6
42,"mock_user_037","A",3,6,3,1,5,4
43,"mock_user_038","B",2,8,6,1,8,7
44,"mock_user_039","A",2,3,1,1,3,2
45,"mock_user_040","B",3,9,6,2,9,7
46,"mock_user_041","A",3,6,3,2,5,3
47,"mock_user_042","B",3,9,6,1,5,4
48,"mock_user_043","A",4,5,1,1,3,2
49,"mock_user_044","B",5,10,5,2,8,6
50,"mock_user_045","A",5,9,4,1,4,3
51,"mock_user_046","B",4,10,6,3,9,6
52,"mock_user_047","A",3,6,3,2,4,2
53,"mock_user_048","B",3,8,5,2,8,6
54,"mock_user_049","A",4,7,3,2,4,2
55,"mock_user_050","B",5,10,5,3,8,5
